CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST100011,Female,0,Yes,No,55,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),100.68,5500.1,Yes
CUST100012,Female,1,No,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),38.32,661.01,Yes
CUST100013,Female,1,Yes,No,14,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),102.52,1476.48,No
CUST100014,Female,0,No,Yes,50,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),88.28,4435.13,No
CUST100015,Female,0,No,No,5,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),90.65,457.2,Yes
CUST100016,Female,0,No,No,39,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),98.35,3852.7,No
CUST100017,Male,0,Yes,Yes,33,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Electronic check,113.97,3680.59,Yes
CUST100018,Female,0,Yes,No,54,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),72.1,3892.07,No
CUST100019,Male,0,No,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.7,373.22,No
CUST100020,Female,0,No,No,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),21.87,1216.39,No
CUST100021,Male,0,Yes,No,51,Yes,No,DSL,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),67.65,3477.88,No
CUST100022,Male,1,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),26.55,488.74,No
CUST100023,Female,0,No,No,26,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,77.99,2107.92,Yes
CUST100024,Female,1,No,No,5,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),82.89,398.04,No
CUST100025,Female,0,Yes,Yes,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),33.92,1108.19,No
CUST100026,Male,0,Yes,Yes,19,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),73.01,1371.7,No
CUST100027,Female,0,Yes,No,9,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),116.27,934.65,Yes
CUST100028,Female,0,No,No,41,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),90.5,3627.77,No
CUST100029,Male,0,Yes,No,41,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,89.57,3705.75,Yes
CUST100030,Male,1,Yes,No,7,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),104.72,645.38,No
CUST100031,Male,0,No,Yes,14,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,56.72,757.5,No
CUST100032,Male,0,Yes,Yes,6,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),90.97,540.27,Yes
CUST100033,Female,0,Yes,Yes,49,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),92.41,4505.23,No
CUST100034,Female,0,Yes,No,25,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),86.0,2195.7,No
CUST100035,Male,0,Yes,No,6,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,99.73,602.0,No
CUST100036,Female,0,Yes,No,14,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Electronic check,66.95,905.23,No
CUST100037,Female,0,Yes,Yes,71,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),92.56,6625.72,No
CUST100038,Male,0,No,Yes,19,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),107.59,2091.26,Yes
CUST100039,Female,1,No,No,50,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Electronic check,109.65,5389.67,No
CUST100040,Male,0,Yes,No,34,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),76.66,2618.04,No
CUST100041,Female,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),25.75,349.45,No
CUST100042,Female,0,Yes,No,23,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,88.84,2003.8,No
CUST100043,Male,0,No,No,2,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),80.88,252.48,Yes
CUST100044,Male,0,Yes,No,54,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Credit card (automatic),89.87,4859.68,Yes
CUST100045,Female,1,No,No,25,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),117.51,2922.41,No
CUST100046,Male,0,Yes,No,36,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,117.75,4245.0,No
CUST100047,Female,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,101.26,1268.24,No
CUST100048,Female,0,Yes,No,60,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),105.3,6273.67,No
CUST100049,Female,0,No,Yes,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),21.23,332.92,Yes
CUST100050,Female,0,Yes,No,41,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),124.15,5139.07,No
CUST100051,Male,1,No,Yes,63,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),86.98,5400.6,No
CUST100052,Male,0,Yes,No,52,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,80.71,4244.9,No
CUST100053,Male,0,No,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.41,835.35,No
CUST100054,Male,1,No,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),43.1,2752.04,No
CUST100055,Male,0,No,No,13,No,No phone service,DSL,No,No,No,Yes,Yes,No,One year,No,Electronic check,76.13,916.66,No
CUST100056,Female,1,Yes,No,70,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,83.33,5780.29,Yes
CUST100057,Male,0,Yes,Yes,41,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,91.25,3812.3,No
CUST100058,Female,0,Yes,Yes,30,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),104.0,3185.17,No
CUST100059,Female,0,Yes,Yes,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),79.24,1560.3,No
CUST100060,Female,0,No,No,54,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,133.25,7079.65,No
CUST100061,Female,1,No,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),22.29,1568.53,No
CUST100062,Male,0,No,Yes,50,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,117.14,5880.89,Yes
CUST100063,Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),86.79,297.62,No
CUST100064,Male,0,No,No,34,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),104.12,3490.13,Yes
CUST100065,Male,0,No,No,53,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),102.27,5384.79,No
CUST100066,Female,0,No,No,29,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),83.87,2375.3,Yes
CUST100067,Male,1,Yes,Yes,56,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),117.94,6721.98,No
CUST100068,Male,0,No,No,51,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,113.12,5736.88,Yes
CUST100069,Male,0,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,86.82,435.73,Yes
CUST100070,Female,0,Yes,Yes,41,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,119.68,4912.89,No
CUST100071,Male,0,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,88.01,1202.51,Yes
CUST100072,Male,1,No,No,36,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),97.73,3462.43,No
CUST100073,Male,0,No,No,28,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,83.56,2398.25,No
CUST100074,Female,0,No,No,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.68,1262.49,No
CUST100075,Male,0,No,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,45.46,2895.78,No
CUST100076,Male,1,Yes,No,34,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),93.56,3084.75,Yes
CUST100077,Male,0,Yes,No,39,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,69.42,2703.03,No
CUST100078,Female,0,No,No,46,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),125.75,5907.14,No
CUST100079,Female,0,No,Yes,48,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),138.51,6706.43,No
CUST100080,Female,0,Yes,Yes,46,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,136.03,6291.76,No
CUST100081,Male,0,No,Yes,57,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),104.72,5903.17,No
CUST100082,Male,0,Yes,No,71,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),124.31,8771.2,Yes
CUST100083,Female,0,No,No,60,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),78.08,4747.78,No
CUST100084,Female,0,Yes,No,10,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),75.77,779.17,Yes
CUST100085,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),64.8,2302.61,No
CUST100086,Male,0,Yes,Yes,34,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),120.03,4086.33,Yes
CUST100087,Male,1,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),91.58,3372.98,No
CUST100088,Female,0,No,No,39,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),88.99,3511.55,Yes
CUST100089,Female,0,Yes,No,52,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),109.02,5686.0,No
CUST100090,Male,0,Yes,No,31,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,101.05,3122.25,No
CUST100091,Female,1,No,No,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),106.51,1933.33,Yes
CUST100092,Female,0,No,No,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),38.77,1301.6,No
CUST100093,Male,0,Yes,No,62,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,No,Mailed check,59.77,3721.52,No
CUST100094,Female,1,Yes,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),39.6,896.4,No
CUST100095,Male,0,Yes,Yes,2,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),123.29,333.81,No
CUST100096,Male,0,No,Yes,71,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Credit card (automatic),92.79,6601.66,No
CUST100097,Female,0,Yes,No,15,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,120.67,1829.12,No
CUST100098,Female,0,Yes,Yes,44,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),81.95,3649.26,No
CUST100099,Male,0,Yes,Yes,58,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),47.8,2791.58,No
CUST100100,Female,0,No,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,35.21,710.4,No
CUST100101,Male,0,Yes,Yes,25,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Credit card (automatic),94.63,2355.04,No
CUST100102,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),102.77,2280.49,No
CUST100103,Male,1,Yes,No,11,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,137.69,1453.97,Yes
CUST100104,Female,0,No,No,12,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),85.28,1061.53,No
CUST100105,Female,0,Yes,No,14,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,97.11,1354.65,No
CUST100106,Female,0,Yes,No,33,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Credit card (automatic),72.18,2401.63,Yes
CUST100107,Female,0,Yes,No,39,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),106.41,4228.74,No
CUST100108,Male,0,No,Yes,2,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),112.57,204.1,No
CUST100109,Female,0,No,No,61,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,80.6,4945.7,Yes
CUST100110,Male,1,Yes,No,49,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),86.89,4271.45,Yes
CUST100111,Female,0,Yes,Yes,6,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,123.48,693.37,No
CUST100112,Female,0,No,No,61,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),58.18,3592.9,No
CUST100113,Male,1,No,No,3,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,116.85,400.41,Yes
CUST100114,Female,0,Yes,No,41,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.76,4512.28,No
CUST100115,Female,0,Yes,No,34,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,101.59,3521.33,Yes
CUST100116,Male,0,No,Yes,37,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),73.16,2670.42,Yes
CUST100117,Male,0,No,No,69,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),89.12,6147.73,Yes
CUST100118,Male,0,No,Yes,67,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Electronic check,86.78,5791.91,No
CUST100119,Male,1,No,Yes,21,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Mailed check,113.8,2441.1,No
CUST100120,Male,0,Yes,Yes,42,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,88.45,3689.44,Yes
CUST100121,Female,0,Yes,No,70,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,90.67,6388.16,No
CUST100122,Female,0,Yes,No,53,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),71.85,3833.68,No
CUST100123,Male,1,Yes,No,64,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),99.71,6358.99,No
CUST100124,Female,0,Yes,Yes,32,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,No,Bank transfer (automatic),66.14,2189.09,No
CUST100125,Female,0,Yes,Yes,21,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,89.41,1837.63,Yes
CUST100126,Male,0,Yes,No,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),36.76,1329.04,No
CUST100127,Female,0,No,Yes,59,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),88.62,5274.1,No
CUST100128,Female,0,Yes,No,67,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,72.27,4748.89,Yes
CUST100129,Female,0,Yes,No,50,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81.65,4155.58,Yes
CUST100130,Female,0,No,No,51,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),99.1,5060.15,Yes
CUST100131,Female,0,No,No,37,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,98.49,3559.8,Yes
CUST100132,Male,0,No,Yes,24,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),99.41,2329.27,No
CUST100133,Female,0,No,Yes,31,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),137.49,4127.39,No
CUST100134,Female,0,No,No,36,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),123.12,4460.6,No
CUST100135,Male,0,Yes,No,59,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,No,Electronic check,103.88,6046.22,No
CUST100136,Female,0,Yes,No,40,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,95.12,3833.46,No
CUST100137,Male,0,No,Yes,58,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),82.04,4743.32,No
CUST100138,Male,0,Yes,No,2,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,97.7,167.53,No
CUST100139,Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,122.63,6782.13,Yes
CUST100140,Female,0,Yes,No,37,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,119.1,4451.26,Yes
CUST100141,Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,77.95,5665.99,No
CUST100142,Male,1,Yes,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),33.64,1130.97,No
CUST100143,Male,0,Yes,Yes,35,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),22.58,789.9,No
CUST100144,Female,0,No,No,10,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),73.35,705.54,Yes
CUST100145,Female,0,No,No,59,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,90.54,5350.71,No
CUST100146,Male,0,Yes,No,51,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),93.9,4745.05,Yes
CUST100147,Male,0,No,No,63,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),107.71,6758.32,No
CUST100148,Female,0,Yes,No,7,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,123.69,834.73,No
CUST100149,Male,1,No,Yes,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),22.85,369.62,No
CUST100150,Female,0,No,Yes,64,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,130.65,8361.83,No
CUST100151,Male,0,Yes,No,4,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,115.38,496.57,No
CUST100152,Female,0,No,No,37,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),78.86,2912.76,No
CUST100153,Male,0,No,Yes,30,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Two year,No,Mailed check,100.16,2969.96,Yes
CUST100154,Male,0,No,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.0,1226.07,No
CUST100155,Female,0,No,No,62,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),117.25,7204.98,No
CUST100156,Male,0,No,Yes,65,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,86.4,5645.51,No
CUST100157,Female,1,Yes,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,35.0,729.01,No
CUST100158,Female,0,No,No,43,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,75.04,3235.93,Yes
CUST100159,Female,0,No,No,51,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),101.63,5196.55,Yes
CUST100160,Female,0,No,No,70,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),80.56,5716.61,No
CUST100161,Female,0,Yes,No,1,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,95.74,117.66,Yes
CUST100162,Male,0,No,Yes,71,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),97.18,6904.05,No
CUST100163,Male,0,Yes,No,26,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,85.56,2189.02,No
CUST100164,Male,1,No,No,10,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,114.5,1200.12,Yes
CUST100165,Female,0,Yes,No,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),39.3,1762.13,No
CUST100166,Male,0,No,Yes,57,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,No,Mailed check,92.68,5197.93,No
CUST100167,Male,0,No,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,31.61,312.4,Yes
CUST100168,Male,0,Yes,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),31.14,97.0,Yes
CUST100169,Male,0,Yes,No,65,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),101.68,6559.26,No
CUST100170,Male,0,Yes,No,68,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),61.72,4192.58,Yes
CUST100171,Male,0,No,No,12,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),89.18,1066.34,Yes
CUST100172,Female,0,No,No,66,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),97.57,6436.35,No
CUST100173,Female,1,Yes,No,66,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,113.25,7558.39,Yes
CUST100174,Female,0,Yes,No,72,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,No,Electronic check,120.25,8563.37,No
CUST100175,Male,1,Yes,Yes,16,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,123.05,2118.96,Yes
